Statistics,AdvancedScheduler,MaxOccupancyScheduler
Total Time-Loss,14526.539999999995,22153.910000000007
Average Time-Loss,78.09967741935482,119.10704301075273
Max Time-Loss,202.82,346.25
Minimum Time-Loss,4.06,3.67
Total waitingTime,9130.0,10466.0
Average waitingTime,49.086021505376344,56.26881720430107
Max waitingTime,165.0,189.0
Minimum waitingTime,0.0,0.0
Total Duration,25285.0,32907.0
Average Duration,135.94086021505376,176.91935483870967
Max Duration,317.0,450.0
Minimum Duration,30.0,30.0
Total routeLength,148295.08000000007,148295.08000000002
Average routeLength,797.2853763440864,797.2853763440861
Max routeLength,1615.67,1615.67
Minimum routeLength,345.73,345.73
