Statistics,./temp_outputs/AdvancedScheduler,./temp_outputs/MaxOccupancyScheduler,./temp_outputs/StaticScheduler
Total Time-Loss,22912.74000000001,63219.44999999998,24112.56
Average Time-Loss,83.31905454545458,229.88890909090904,87.68203636363637
Max Time-Loss,282.37,625.34,299.91
Minimum Time-Loss,3.81,3.95,4.13
Total waitingTime,16272.0,50396.0,15630.0
Average waitingTime,59.17090909090909,183.2581818181818,56.836363636363636
Max waitingTime,252.0,534.0,230.0
Minimum waitingTime,0.0,0.0,0.0
Total Duration,35899.0,76173.0,37088.0
Average Duration,130.54181818181817,276.9927272727273,134.86545454545455
Max Duration,328.0,715.0,379.0
Minimum Duration,30.0,30.0,31.0
Total routeLength,178798.81000000008,178798.80999999988,178798.81000000003
Average routeLength,650.1774909090913,650.1774909090905,650.177490909091
Max routeLength,1236.74,1236.74,1236.74
Minimum routeLength,347.68,347.68,347.68
